Gender,Race,Age_at_Release,Gang_Affiliated,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,DrugTests_THC_Positive,DrugTests_Cocaine_Positive,DrugTests_Meth_Positive,DrugTests_Other_Positive,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years
1,0,5,0.0,3.0,2.0,0,3,0.0,3,6,6,1,3,3,0,0,3,3,0,2,2,0,0,1,1,0,0,0,0,0,0,6,0,2,612.0,0,0,0,0,1,0.4476102941176471,0,1
1,0,3,0.0,6.0,1.0,2,1,3.0,3,7,6,3,0,3,1,0,3,4,1,0,2,0,0,0,0,0,0,1,0,0,4,0,0,2,35.66666666666666,0,0,0,0,1,2.0,0,0
1,0,6,0.0,7.0,0.0,0,3,0.0,0,6,6,3,2,2,1,0,3,2,1,1,2,0,0,1,1,0,0,1,0,1,4,6,0,0,93.66666666666669,1,0,1,0,0,0.0,0,0
1,1,4,0.0,7.0,0.0,2,1,2.0,0,8,6,0,3,3,0,0,3,4,0,3,2,0,1,1,1,0,0,0,0,0,0,6,0,3,25.4,0,0,0,0,2,0.718996062992126,0,1
1,1,3,0.0,4.0,1.0,2,3,3.0,0,4,4,3,2,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,7,0,0,23.11764705882353,0,0,1,0,1,0.9293893129770991,0,0
1,1,4,0.0,5.0,2.0,1,0,2.0,3,4,0,1,3,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,3,474.6,0,0,0,0,1,0.3078381795195955,0,1
1,0,6,0.0,2.0,2.0,2,2,-1.0,2,10,6,1,5,1,0,1,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,238.5,0,0,0,0,0,0.0,0,0
1,0,4,0.0,5.0,0.0,1,3,0.0,1,6,6,3,1,2,0,0,1,4,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,34.775,0,0,0,0,1,0.5251617541337167,0,1
0,0,5,-1.0,7.0,0.0,1,0,0.0,2,10,4,2,5,3,0,0,2,4,0,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,55.42481203007519,0,0,0,0,0,0.0,1,0
1,0,5,0.0,5.0,2.0,1,3,2.0,3,10,6,3,5,2,1,1,3,4,1,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,27.8,0,0,0,0,1,1.0,0,0
1,1,5,0.0,3.0,1.0,2,1,3.0,0,3,6,2,1,1,1,0,0,3,0,0,0,1,0,1,1,0,1,1,0,0,0,9,2,2,42.8,1,0,1,0,2,3.413551401869159,1,0
1,0,3,0.0,5.0,1.0,1,3,1.0,0,10,1,1,1,2,0,0,3,1,0,0,2,0,1,1,1,1,0,1,0,0,4,10,0,0,8.04,1,0,1,0,0,0.0,1,0
